comprimento,ciclos,fracao_do_total,razao_vs_anterior
4,52,0.000000,
6,616,0.000001,11.8462
8,5244,0.000005,8.5130
10,42196,0.000044,8.0465
12,297602,0.000310,7.0528
14,1721264,0.001794,5.7838
16,8001460,0.008340,4.6486
18,28773044,0.029990,3.5960
20,78623226,0.081948,2.7325
22,158812696,0.165529,2.0199
24,230702332,0.240458,1.4527
26,231581356,0.241374,1.0038
28,151220422,0.157615,0.6530
30,58006836,0.060460,0.3836
32,10904352,0.011365,0.1880
34,725168,0.000756,0.0665
36,9862,0.000010,0.0136
TOTAL,959427728,1.0,
